name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft,Roof_Sq_M,Annual_kWh,Annual_MWh,Daily_kWh,Households_Powered,Households_1mi,Households_3mi,EV_Stations_1mi,EV_Stations_3mi,Priority_Score,Annual_Class_BP,Household_Class_BP,EV_Class_BP,Carbon_Reduction_kgCO2,Carbon_Reduction_tonsCO2,Estimated_System_kW,Estimated_System_MW,Estimated_Solar_Cost_USD,Estimated_Solar_Cost_Million_USD
Commercial on Midway Road,commercial,"Dallas County, Texas",Midway Road,32.944591964968865,-96.83825348,58518.85590175232,38037.26,3533.661454,1135012.0,1135.01,3109.6,86.3,7462,60862,11,44,0.1182,Medium,Medium,Medium,380229.0,380.23,706.73,0.707,1413460.0,1.413
Warehouse on Spring Valley Road,warehouse,"Dallas County, Texas",Spring Valley Road,32.9406863,-96.8346195,125751.48178924952,81738.46,7593.502934,2439033.0,2439.03,6682.3,185.4,8307,59928,14,45,0.1389,Medium,Medium,High,817076.0,817.08,1518.7,1.519,3037400.0,3.037
Commercial on Dilbeck Lane,commercial,"Dallas County, Texas",Dilbeck Lane,32.92872866439271,-96.80078022,36353.28619140391,23629.64,2195.193556,705096.0,705.1,1931.8,53.6,7358,65335,8,48,0.114,Low,Medium,Medium,236207.0,236.21,439.04,0.439,878080.0,0.878
Commercial on Thackery Street,commercial,"Dallas County, Texas",Thackery Street,32.86676878825856,-96.79354524,313173.5722110697,203562.82,18910.985978,6074209.0,6074.21,16641.7,461.8,6282,64226,1,14,0.1312,High,Medium,Low,2034860.0,2034.86,3782.2,3.782,7564400.0,7.564
Commercial on McKinney Avenue,commercial,"Dallas County, Texas",McKinney Avenue,32.799275353001256,-96.8014171,39454.79057445262,25645.61,2382.477169,765252.0,765.25,2096.6,58.2,26369,96995,66,131,0.3978,Low,High,High,256359.0,256.36,476.5,0.476,953000.0,0.953
Commercial on Crescent Court,commercial,"Dallas County, Texas",Crescent Court,32.79459506899461,-96.8044062,118817.6193135712,77231.45,7174.801705,2304546.0,2304.55,6313.8,175.2,22975,95269,62,130,0.3567,Medium,High,High,772023.0,772.02,1434.96,1.435,2869920.0,2.87
Alfred Horatio Belo House,office,"Dallas County, Texas",Ross Avenue,32.78837300477723,-96.79871343,33674.64463,21888.52,2033.443508,653142.0,653.14,1789.4,49.7,21687,93243,80,128,0.3273,Low,High,High,218803.0,218.8,406.69,0.407,813380.0,0.813
Warehouse on Valley View Lane,warehouse,"Dallas County, Texas",Valley View Lane,32.91961747241488,-96.92424236,180553.71809034864,117359.92,10902.736568,3501959.0,3501.96,9594.4,266.3,1132,35805,1,27,0.0385,High,Low,Low,1173156.0,1173.16,2180.55,2.181,4361100.0,4.361
The Centrum,commercial,"Dallas County, Texas",Oak Lawn Avenue,32.80915346677074,-96.8077561,108225.82736554185,70346.79,6535.216790999999,2099112.0,2099.11,5751.0,159.6,24658,96702,29,138,0.3805,Medium,High,High,703203.0,703.2,1307.04,1.307,2614080.0,2.614
Commercial on Dickason Avenue,commercial,"Dallas County, Texas",Dickason Avenue,32.80696927519055,-96.80827826,24022.57472808828,15614.67,1450.602843,465934.0,465.93,1276.5,35.4,24751,96250,30,138,0.3718,Low,High,High,156088.0,156.09,290.12,0.29,580240.0,0.58
