name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft,Roof_Sq_M,Annual_kWh,Annual_MWh,Daily_kWh,Households_Powered,Households_1mi,Households_3mi,EV_Stations_1mi,EV_Stations_3mi,Priority_Score,Annual_Class_BP,Household_Class_BP,EV_Class_BP,Carbon_Reduction_kgCO2,Carbon_Reduction_tonsCO2,Estimated_System_kW,Estimated_System_MW,Estimated_Solar_Cost_USD,Estimated_Solar_Cost_Million_USD
Retail on North Highway 67,retail,"Dallas County, Texas",North Highway 67,32.59259240653191,-96.94077068,116144.04904757044,75493.63,7013.358227,2252691.0,2252.69,6171.8,171.3,2486,18762,3,3,0.051,Medium,Low,Medium,754651.0,754.65,1402.67,1.403,2805340.0,2.805
Retail on North Highway 67,retail,"Dallas County, Texas",North Highway 67,32.59606802762163,-96.93613574,135502.32933415176,88076.51,8182.307778999999,2628157.0,2628.16,7200.4,199.8,2661,20315,3,3,0.0559,Medium,Low,Medium,880433.0,880.43,1636.46,1.636,3272920.0,3.273
Commercial on West FM 1382,commercial,"Dallas County, Texas",West FM 1382,32.59926120232301,-96.94404433,28361.955613437647,18435.27,1712.636583,550099.0,550.1,1507.1,41.8,2014,19372,3,3,0.0334,Low,Low,Medium,184283.0,184.28,342.53,0.343,685060.0,0.685
Commercial on Cedar Hill Village Drive,commercial,"Dallas County, Texas",Cedar Hill Village Drive,32.591991051253785,-96.94651888,43331.97572275151,28165.78,2616.600962,840452.0,840.45,2302.6,63.9,2032,17691,3,3,0.0355,Medium,Low,Medium,281551.0,281.55,523.32,0.523,1046640.0,1.047
Commercial on South Central Expressway,commercial,"Dallas County, Texas",South Central Expressway,32.70108702070564,-96.74926318,27606.182349258743,17944.02,1666.999458,535440.0,535.44,1467.0,40.7,1362,19050,0,1,0.0236,Low,Low,Low,179372.0,179.37,333.4,0.333,666800.0,0.667
Warehouse on La Reunion Parkway,warehouse,"Dallas County, Texas",La Reunion Parkway,32.77054537368456,-96.8925722,64669.95160710737,42035.47,3905.095163,1254317.0,1254.32,3436.5,95.4,1592,26364,2,15,0.0315,Medium,Low,Low,420196.0,420.2,781.02,0.781,1562040.0,1.562
Warehouse on Terre Colony Court,warehouse,"Dallas County, Texas",Terre Colony Court,32.77266874482653,-96.86636057,78867.26259559549,51263.72,4762.399588,1529683.0,1529.68,4190.9,116.3,3765,34356,10,25,0.0656,Medium,Low,Medium,512444.0,512.44,952.48,0.952,1904960.0,1.905
Warehouse on La Reunion Parkway,warehouse,"Dallas County, Texas",La Reunion Parkway,32.77042622,-96.8938677,61355.27014216191,39880.93,3704.938397,1190026.0,1190.03,3260.3,90.5,1611,25851,2,14,0.0314,Medium,Low,Low,398659.0,398.66,740.99,0.741,1481980.0,1.482
Warehouse on Terre Colony Court,warehouse,"Dallas County, Texas",Terre Colony Court,32.77229114652785,-96.86713875,138594.99653947272,90086.75,8369.059075,2688142.0,2688.14,7364.8,204.4,3686,34472,10,25,0.0716,Medium,Low,Medium,900528.0,900.53,1673.81,1.674,3347620.0,3.348
Warehouse on Adler Drive,warehouse,"Dallas County, Texas",Adler Drive,32.76576006472202,-96.88913739,357830.57581834926,232589.87,21607.598923,6940361.0,6940.36,19014.7,527.7,1562,30079,10,15,0.0662,High,Low,Medium,2325021.0,2325.02,4321.52,4.322,8643040.0,8.643
Warehouse on Terre Colony Court,warehouse,"Dallas County, Texas",Terre Colony Court,32.771315017733734,-96.86678354,25885.98996333419,16825.89,1563.125181,502076.0,502.08,1375.6,38.2,3884,35285,10,21,0.061,Low,Low,Medium,168195.0,168.2,312.63,0.313,625260.0,0.625
Warehouse on Postal Way,warehouse,"Dallas County, Texas",Postal Way,32.770490996372466,-96.86370177,27007.37790082865,17554.8,1630.84092,523826.0,523.83,1435.1,39.8,4504,36439,10,25,0.0704,Low,Medium,Medium,175482.0,175.48,326.17,0.326,652340.0,0.652
Warehouse on La Reunion Parkway,warehouse,"Dallas County, Texas",La Reunion Parkway,32.76975573353327,-96.89268467,67922.94692933647,44149.92,4101.527568,1317411.0,1317.41,3609.3,100.2,1587,26628,2,14,0.0318,Medium,Low,Low,441333.0,441.33,820.31,0.82,1640620.0,1.641
Warehouse on La Reunion Parkway,warehouse,"Dallas County, Texas",La Reunion Parkway,32.77029896631628,-96.89012718,117012.08614444992,76057.86,7065.775194,2269527.0,2269.53,6217.9,172.6,1565,27532,9,15,0.0374,Medium,Low,Medium,760292.0,760.29,1413.16,1.413,2826320.0,2.826
Warehouse on West Commerce Street,warehouse,"Dallas County, Texas",West Commerce Street,32.77359380699592,-96.87043346,130706.569719089,84959.27,7892.716183,2535140.0,2535.14,6945.6,192.8,3022,32788,10,22,0.0607,Medium,Low,Medium,849272.0,849.27,1578.54,1.579,3157080.0,3.157
Warehouse on West Commerce Street,warehouse,"Dallas County, Texas",West Commerce Street,32.772069649881566,-96.86132375,30319.31720846517,19707.56,1830.832324,588063.0,588.06,1611.1,44.7,4619,35734,10,28,0.0725,Low,Medium,Medium,197001.0,197.0,366.17,0.366,732340.0,0.732
FedEx Ground,warehouse,"Dallas County, Texas",Adler Drive,32.765822192703794,-96.88664578,361304.3072030789,234847.8,21817.36062,7007736.0,7007.74,19199.3,532.8,1725,31395,10,15,0.069,High,Low,Medium,2347592.0,2347.59,4363.47,4.363,8726940.0,8.727
Warehouse on North Westmoreland Road,warehouse,"Dallas County, Texas",North Westmoreland Road,32.77393164855947,-96.87295635,257493.85451136227,167371.01,15548.766829,4994264.0,4994.26,13682.9,379.7,2637,31893,10,20,0.0702,High,Low,Medium,1673078.0,1673.08,3109.75,3.11,6219500.0,6.22
Warehouse on Terre Colony Court,warehouse,"Dallas County, Texas",Terre Colony Court,32.772102210948304,-96.86879931,111092.91137549446,72210.39,6708.345230999999,2154720.0,2154.72,5903.3,163.8,3426,34246,10,23,0.0644,Medium,Low,Medium,721831.0,721.83,1341.67,1.342,2683340.0,2.683
Warehouse on Lone Star Drive,warehouse,"Dallas County, Texas",Lone Star Drive,32.77075587238944,-96.87128824,113227.9002968532,73598.14,6837.267206,2196130.0,2196.13,6016.8,167.0,3158,34641,10,16,0.0606,Medium,Low,Medium,735704.0,735.7,1367.45,1.367,2734900.0,2.735
Warehouse on West Commerce Street,warehouse,"Dallas County, Texas",West Commerce Street,32.77395231479264,-96.87194013,261932.9607794648,170256.42,15816.821418,5080363.0,5080.36,13918.8,386.3,2773,32150,10,21,0.0727,High,Low,Medium,1701922.0,1701.92,3163.36,3.163,6326720.0,6.327
Kroger,retail,"Dallas County, Texas",North Belt Line Road,32.855107331559736,-96.99087583,69521.73379662645,45189.13,4198.070177,1348420.0,1348.42,3694.3,102.5,10999,43530,0,25,0.1723,Medium,High,Low,451721.0,451.72,839.61,0.84,1679220.0,1.679
Commercial on Riverside Drive,commercial,"Dallas County, Texas",Riverside Drive,32.88966524582422,-96.934706,29831.21543802097,19390.29,1801.357941,578596.0,578.6,1585.2,44.0,4474,32747,2,39,0.0703,Low,Medium,Low,193830.0,193.83,360.27,0.36,720540.0,0.721
Warehouse on Riverside Drive,warehouse,"Dallas County, Texas",Riverside Drive,32.89125621419675,-96.93404574,54477.90427859269,35410.64,3289.648456,1056635.0,1056.64,2894.9,80.3,4280,33075,1,40,0.0703,Medium,Medium,Low,353973.0,353.97,657.93,0.658,1315860.0,1.316
Commercial on West Camp Wisdom Road,commercial,"Dallas County, Texas",West Camp Wisdom Road,32.663497449664554,-96.87327358,50883.09151982111,33074.01,3072.575529,986911.0,986.91,2703.9,75.0,4819,34772,0,9,0.0779,Medium,Medium,Low,330615.0,330.62,614.52,0.615,1229040.0,1.229
Commercial on Marvin D Love Freeway,commercial,"Dallas County, Texas",Marvin D Love Freeway,32.663616825949404,-96.87101324,127655.0475689394,82975.78,7708.449962,2475954.0,2475.95,6783.4,188.3,4516,34859,0,9,0.0826,Medium,Medium,Low,829445.0,829.44,1541.69,1.542,3083380.0,3.083
Commercial on West Camp Wisdom Road,commercial,"Dallas County, Texas",West Camp Wisdom Road,32.66270707557787,-96.8708829,21580.7467373518,14027.49,1303.153821,418573.0,418.57,1146.8,31.8,4613,34657,0,9,0.0713,Low,Medium,Low,140222.0,140.22,260.63,0.261,521260.0,0.521
Planet Fitness,commercial,"Dallas County, Texas",West Camp Wisdom Road,32.66139937805241,-96.87286535,41311.36588963887,26852.39,2494.587031,801261.0,801.26,2195.2,60.9,5044,34419,0,9,0.0801,Low,Medium,Low,268422.0,268.42,498.92,0.499,997840.0,0.998
Commercial on Uptown Boulevard,commercial,"Dallas County, Texas",Uptown Boulevard,32.59545216628971,-96.94470105,36090.55532,23458.86,2179.328094,700000.0,700.0,1917.8,53.2,2046,18518,3,3,0.0348,Low,Low,Medium,234500.0,234.5,435.87,0.436,871740.0,0.872
Commercial on North Highway 67,commercial,"Dallas County, Texas",North Highway 67,32.594567310879924,-96.94431175,43237.89778982964,28104.63,2610.920127,838628.0,838.63,2297.6,63.8,2109,18435,3,3,0.0366,Medium,Low,Medium,280940.0,280.94,522.18,0.522,1044360.0,1.044
Retail on West Wheatland Road,retail,"Dallas County, Texas",West Wheatland Road,32.648934967733275,-96.88534217,47342.63556191954,30772.71,2858.784759,918242.0,918.24,2515.7,69.8,5992,30388,3,9,0.095,Medium,Medium,Medium,307611.0,307.61,571.76,0.572,1143520.0,1.144
Warehouse on South Cockrell Hill Road,warehouse,"Dallas County, Texas",South Cockrell Hill Road,32.64880044812489,-96.89074195,23725.677243420207,15421.69,1432.675001,460175.0,460.18,1260.8,35.0,5597,29445,3,9,0.0863,Low,Medium,Medium,154159.0,154.16,286.54,0.287,573080.0,0.573
Retail on West Pioneer Parkway,retail,"Dallas County, Texas",West Pioneer Parkway,32.70871035014073,-97.0111004,50487.80689869194,32817.07,3048.705803,979244.0,979.24,2682.9,74.5,5893,34407,2,21,0.0939,Medium,Medium,Low,328047.0,328.05,609.74,0.61,1219480.0,1.219
Retail on South Cedar Ridge Drive,retail,"Dallas County, Texas",South Cedar Ridge Drive,32.64810031,-96.92667223,33218.323732310375,21591.91,2005.888439,644291.0,644.29,1765.2,49.0,3670,27458,0,4,0.0587,Low,Low,Low,215837.0,215.84,401.18,0.401,802360.0,0.802
Commercial on North Central Expressway,commercial,"Dallas County, Texas",North Central Expressway,32.87025803641637,-96.76943031,32262.73667619457,20970.78,1948.185462,625757.0,625.76,1714.4,47.6,12894,68055,4,13,0.1961,Low,High,Medium,209629.0,209.63,389.64,0.39,779280.0,0.779
Industrial on Valley View Lane,industrial,"Dallas County, Texas",Valley View Lane,32.83077207474026,-97.02826933,420996.7836456293,273647.91,25421.890839,8165511.0,8165.51,22371.3,620.9,2943,37179,4,22,0.0943,High,Low,Medium,2735446.0,2735.45,5084.38,5.084,10168760.0,10.169
Retail on West Northgate Drive,retail,"Dallas County, Texas",West Northgate Drive,32.85777332532655,-96.99281522,20546.67028252274,13355.34,1240.711086,398516.0,398.52,1091.8,30.3,11068,41997,1,27,0.1674,Low,High,Low,133503.0,133.5,248.14,0.248,496280.0,0.496
Retail on North Belt Line Road,retail,"Dallas County, Texas",North Belt Line Road,32.85635944,-96.992917,25509.816230703203,16581.38,1540.410202,494780.0,494.78,1355.6,37.6,11143,42283,0,23,0.1691,Low,High,Low,165751.0,165.75,308.08,0.308,616160.0,0.616
Industrial on Peters Street,industrial,"Dallas County, Texas",Peters Street,32.77182150501037,-96.79503963,24417.869189881727,15871.61,1474.472569,473601.0,473.6,1297.5,36.0,8628,76208,37,119,0.1315,Low,Medium,High,158656.0,158.66,294.89,0.295,589780.0,0.59
Commercial on South Austin Street,commercial,"Dallas County, Texas",South Austin Street,32.76935885,-96.7988609,33823.52166293274,21985.29,2042.433441,656030.0,656.03,1797.3,49.9,7568,72392,31,118,0.1169,Low,Medium,High,219770.0,219.77,408.49,0.408,816980.0,0.817
Commercial on Botham Jean Boulevard,commercial,"Dallas County, Texas",Botham Jean Boulevard,32.76869196163883,-96.79786315,105016.47875389372,68260.71,6341.419959000001,2036864.0,2036.86,5580.4,154.9,7196,71410,30,118,0.1198,Medium,Medium,High,682349.0,682.35,1268.28,1.268,2536560.0,2.537
Commercial on Gould Street,commercial,"Dallas County, Texas",Gould Street,32.76949555215177,-96.79127637,53238.994063208105,34605.35,3214.837015,1032606.0,1032.61,2829.1,78.5,7103,72247,26,117,0.1123,Medium,Medium,High,345923.0,345.92,642.97,0.643,1285940.0,1.286
Warehouse on South Harwood Street,warehouse,"Dallas County, Texas",South Harwood Street,32.77292988038857,-96.78501909,23029.82156697841,14969.38,1390.655402,446679.0,446.68,1223.8,34.0,7184,75631,13,117,0.1098,Low,Medium,High,149637.0,149.64,278.13,0.278,556260.0,0.556
Warehouse on South Harwood Street,warehouse,"Dallas County, Texas",South Harwood Street,32.77389725517752,-96.78553419,20747.43579657692,13485.83,1252.833607,402410.0,402.41,1102.5,30.6,7666,77257,14,119,0.1168,Low,Medium,High,134807.0,134.81,250.57,0.251,501140.0,0.501
Warehouse on South César Chávez Boulevard,warehouse,"Dallas County, Texas",South César Chávez Boulevard,32.77324492828101,-96.78227398,25763.957966461086,16746.57,1555.756353,499709.0,499.71,1369.1,38.0,6522,74992,11,116,0.1003,Low,Medium,Medium,167403.0,167.4,311.15,0.311,622300.0,0.622
Warehouse on South Good-Latimer Expressway,warehouse,"Dallas County, Texas",South Good-Latimer Expressway,32.77631590902309,-96.78296506,78882.94919434324,51273.92,4763.347167999999,1529987.0,1529.99,4191.7,116.3,7764,79824,13,120,0.1252,Medium,Medium,High,512546.0,512.55,952.67,0.953,1905340.0,1.905
Warehouse on Ferris Street,warehouse,"Dallas County, Texas",Ferris Street,32.77449475934932,-96.77960927,42095.76864250854,27362.25,2541.953025,816475.0,816.48,2236.9,62.1,6135,75706,10,115,0.0965,Low,Medium,Medium,273519.0,273.52,508.39,0.508,1016780.0,1.017
Commercial on Pacific Avenue,commercial,"Dallas County, Texas",Pacific Avenue,32.78236827470726,-96.79679443,25544.43494544801,16603.88,1542.500452,495451.0,495.45,1357.4,37.7,15832,88664,77,125,0.239,Low,High,High,165976.0,165.98,308.5,0.308,617000.0,0.617
One Arts Plaza,commercial,"Dallas County, Texas",Routh Street,32.791923508051994,-96.79514762,103922.32322395996,67549.51,6275.349479,2015642.0,2015.64,5522.3,153.3,23881,95511,59,126,0.3684,Medium,High,High,675240.0,675.24,1255.07,1.255,2510140.0,2.51
Commercial on Nowitzki Way,commercial,"Dallas County, Texas",Nowitzki Way,32.789949917863126,-96.80858707,41065.97856760542,26692.89,2479.769481,796502.0,796.5,2182.2,60.6,17964,92504,82,132,0.2727,Low,High,High,266828.0,266.83,495.95,0.496,991900.0,0.992
Office on North Harwood Street,office,"Dallas County, Texas",North Harwood Street,32.79162981312452,-96.80617068,33787.824688356806,21962.09,2040.278161,655337.0,655.34,1795.4,49.8,20440,93873,79,129,0.3087,Low,High,High,219538.0,219.54,408.06,0.408,816120.0,0.816
2525 McKinnon,commercial,"Dallas County, Texas",McKinnon Street,32.79209226521689,-96.80564427,30527.577092713906,19842.93,1843.408197,592103.0,592.1,1622.2,45.0,20961,94184,79,129,0.3161,Low,High,High,198355.0,198.36,368.68,0.369,737360.0,0.737
The Factory in Deep Ellum,commercial,"Dallas County, Texas",Canton Street,32.78238638202588,-96.78374691,28605.902416597142,18593.84,1727.367736,554831.0,554.83,1520.1,42.2,10726,87900,27,119,0.1633,Low,High,High,185868.0,185.87,345.47,0.345,690940.0,0.691
Carrier Crossing,retail,"Dallas County, Texas",West Pioneer Parkway,32.70854484,-97.01711812,39441.74613987951,25637.13,2381.689377,764999.0,765.0,2095.9,58.2,5122,37678,2,23,0.0811,Low,Medium,Low,256275.0,256.27,476.34,0.476,952680.0,0.953
Retail on West Pioneer Parkway,retail,"Dallas County, Texas",West Pioneer Parkway,32.708931759599295,-97.01314352,26967.74381938572,17529.03,1628.4468869999998,523057.0,523.06,1433.0,39.8,5633,35437,2,21,0.0872,Low,Medium,Low,175224.0,175.22,325.69,0.326,651380.0,0.651
Commercial on West Pioneer Parkway,commercial,"Dallas County, Texas",West Pioneer Parkway,32.71029687633002,-97.02131679,54755.07170141042,35590.8,3306.3853200000003,1062011.0,1062.01,2909.6,80.7,4385,39657,2,21,0.0719,Medium,Medium,Low,355774.0,355.77,661.28,0.661,1322560.0,1.323
Commercial on Fort Worth Street,commercial,"Dallas County, Texas",Fort Worth Street,32.742882326610854,-97.01780474,23115.88945240185,15025.33,1395.853157,448348.0,448.35,1228.4,34.1,4470,29581,5,14,0.0694,Low,Medium,Medium,150197.0,150.2,279.17,0.279,558340.0,0.558
Commercial on Family Circle,commercial,"Dallas County, Texas",Family Circle,32.71944389266191,-97.00532488,69756.55959633923,45341.76,4212.249504,1352975.0,1352.98,3706.8,102.9,5599,31831,0,14,0.0918,Medium,Medium,Low,453247.0,453.25,842.45,0.842,1684900.0,1.685
Retail on Southwest 3rd Street,retail,"Dallas County, Texas",Southwest 3rd Street,32.714209178699804,-97.00644785,27196.57682367778,17677.77,1642.264833,527495.0,527.5,1445.2,40.1,6099,32403,0,16,0.0942,Low,Medium,Low,176711.0,176.71,328.45,0.328,656900.0,0.657
Harwood No. 2,office,"Dallas County, Texas",North Harwood Street,32.79393683104876,-96.80758923,20218.315516848408,13141.91,1220.883439,392148.0,392.15,1074.4,29.8,20387,94445,62,131,0.3063,Low,High,High,131370.0,131.37,244.18,0.244,488360.0,0.488
Industrial on Sunnybrook Lane,industrial,"Dallas County, Texas",Sunnybrook Lane,32.73862914265856,-96.99740358,40938.120393088255,26609.78,2472.048562,794022.0,794.02,2175.4,60.4,3673,26715,4,11,0.0597,Low,Low,Medium,265997.0,266.0,494.41,0.494,988820.0,0.989
Dollar Tree,retail,"Dallas County, Texas",Northeast 5th Street,32.74618589,-96.99854262,23643.918532365005,15368.55,1427.738295,458590.0,458.59,1256.4,34.9,3522,24986,4,10,0.0553,Low,Low,Medium,153628.0,153.63,285.55,0.286,571100.0,0.571
Retail on Lively Lane,retail,"Dallas County, Texas",Lively Lane,32.741503994642336,-96.99534914,32931.09364965831,21405.21,1988.544009,638720.0,638.72,1749.9,48.6,3399,25715,4,10,0.0546,Low,Low,Medium,213971.0,213.97,397.71,0.398,795420.0,0.795
Retail on Northeast 19th Street,retail,"Dallas County, Texas",Northeast 19th Street,32.75058912481099,-96.97869379,45341.33177701863,29471.87,2737.936723,879425.0,879.42,2409.4,66.9,2261,20454,1,10,0.0391,Medium,Low,Low,294607.0,294.61,547.59,0.548,1095180.0,1.095
Commercial on Alice Drive,commercial,"Dallas County, Texas",Alice Drive,32.73607425000001,-97.00678835,23268.934723662565,15124.81,1405.0948489999998,451316.0,451.32,1236.5,34.3,4132,29990,3,12,0.0644,Low,Medium,Medium,151191.0,151.19,281.02,0.281,562040.0,0.562
Commercial on North Central Expressway,commercial,"Dallas County, Texas",North Central Expressway,32.963943823277546,-96.72586874,24198.690016501936,15729.15,1461.238035,469350.0,469.35,1285.9,35.7,4167,49452,2,37,0.065,Low,Medium,Low,157232.0,157.23,292.25,0.292,584500.0,0.584
Retail on West Sandy Lake Road,retail,"Dallas County, Texas",West Sandy Lake Road,32.97060180505483,-96.99529901,67560.14211412378,43914.09,4079.618961,1310374.0,1310.37,3590.1,99.6,3422,32277,0,9,0.0591,Medium,Low,Low,438975.0,438.98,815.92,0.816,1631840.0,1.632
Office on Walnut Hill Lane,office,"Dallas County, Texas",Walnut Hill Lane,32.882215276639826,-96.75895415,22500.62084292197,14625.4,1358.69966,436414.0,436.41,1195.7,33.2,10388,77159,5,15,0.1575,Low,Medium,Medium,146199.0,146.2,271.74,0.272,543480.0,0.543
Jackson Building,commercial,"Dallas County, Texas",Walnut Hill Lane,32.8800871,-96.76373546,32534.826414050305,21147.64,1964.615756,631035.0,631.04,1728.9,48.0,11812,73978,7,16,0.18,Low,High,Medium,211397.0,211.4,392.92,0.393,785840.0,0.786
Walnut Glen Tower,office,"Dallas County, Texas",Walnut Hill Lane,32.88068756812076,-96.76643574,34640.17605561609,22516.11,2091.746619,671869.0,671.87,1840.7,51.1,11707,72360,7,16,0.1786,Low,High,Medium,225076.0,225.08,418.35,0.418,836700.0,0.837
Commercial on Belco Drive,commercial,"Dallas County, Texas",Belco Drive,32.88143071733469,-96.75726188,21525.06992388008,13991.3,1299.7917699999998,417493.0,417.49,1143.8,31.7,9912,77576,5,15,0.1503,Low,Medium,Medium,139860.0,139.86,259.96,0.26,519920.0,0.52
Warehouse on Greenville Avenue,warehouse,"Dallas County, Texas",Greenville Avenue,32.884965030132456,-96.75761639,26269.19150649308,17074.97,1586.264713,509508.0,509.51,1395.9,38.7,8901,78016,5,16,0.1358,Low,Medium,Medium,170685.0,170.68,317.25,0.317,634500.0,0.634
Office on Wingren Road,office,"Dallas County, Texas",Wingren Road,32.86305803314075,-96.94134054,61238.63715,39805.11,3697.894719,1187764.0,1187.76,3254.1,90.3,7417,41537,10,32,0.1179,Medium,Medium,Medium,397901.0,397.9,739.58,0.74,1479160.0,1.479
Office on Goodson Drive,office,"Dallas County, Texas",Goodson Drive,32.863764601199705,-96.94113321,50854.56024470738,33055.46,3070.852234,986358.0,986.36,2702.4,75.0,7453,41345,11,32,0.1172,Medium,Medium,Medium,330430.0,330.43,614.17,0.614,1228340.0,1.228
Kroger,commercial,"Dallas County, Texas",West Camp Wisdom Road,32.66067511604285,-96.90924656,70199.01680018454,45629.36,4238.967544,1361556.0,1361.56,3730.3,103.5,4595,28893,0,5,0.0769,Medium,Medium,Low,456121.0,456.12,847.79,0.848,1695580.0,1.696
