name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft
Commercial on Harry Hines Boulevard,commercial,"Dallas County, Texas",Harry Hines Boulevard,32.807799815657766,-96.83071593,81150.26060923314,52747.67
Office on North Stemmons Freeway,office,"Dallas County, Texas",North Stemmons Freeway,32.80856687464661,-96.84171779,49578.78900202052,32226.21
Office on North Stemmons Freeway,office,"Dallas County, Texas",North Stemmons Freeway,32.80808858605867,-96.84063172,45097.16608970328,29313.16
Trade Mart,commercial,"Dallas County, Texas",North Stemmons Freeway,32.80364562854789,-96.82667307,342689.2558699561,222748.02
Medieval Times Dinner & Tournament,commercial,"Dallas County, Texas",North Stemmons Freeway,32.79981647762618,-96.823306,67062.62013,43590.7
Office on Cedar Springs Road,office,"Dallas County, Texas",Cedar Springs Road,32.797193017726244,-96.80592193,31255.953147410244,20316.37
Commercial on Crescent Court,commercial,"Dallas County, Texas",Crescent Court,32.793608711052094,-96.80391195,24801.1911339126,16120.77
Retail on McKinney Avenue,retail,"Dallas County, Texas",McKinney Avenue,32.79320790811212,-96.80213444,36122.42499936482,23479.58
Federal Reserve Bank of Dallas,office,"Dallas County, Texas",North Pearl Street,32.79200129306093,-96.80033693,123283.41989558974,80134.22
Meyerson Symphony Center,commercial,"Dallas County, Texas",Flora Street,32.789908318751614,-96.79862058,68936.32986305238,44808.61
Office on North Saint Paul Street,office,"Dallas County, Texas",North Saint Paul Street,32.787530052206144,-96.80228858,30697.89487589785,19953.63
International Conference & Exposition Center,commercial,"Dallas County, Texas",North Harwood Street,32.78462681513812,-96.79567529,96906.85737857886,62989.46
1600 Pacific Tower,office,"Dallas County, Texas",Pacific Avenue,32.78189876320732,-96.79890155,28478.170672701523,18510.81
Commercial on North Field Street,commercial,"Dallas County, Texas",North Field Street,32.78212291197782,-96.80195056,29870.90775177837,19416.09
Commercial on Pacific Avenue,commercial,"Dallas County, Texas",Pacific Avenue,32.78230693059285,-96.80076199,78229.1463,50848.95
Target,retail,"Dallas County, Texas",North Haskell Avenue,32.80373776116123,-96.79155197,130117.18122095258,84576.17
Ross,retail,"Dallas County, Texas",North Haskell Avenue,32.80344310055348,-96.78908992,28311.47540069445,18402.46
Bryan Tower,commercial,"Dallas County, Texas",Federal Street,32.78530683818513,-96.79645249,30694.97417124063,19951.73
Chase Tower,commercial,"Dallas County, Texas",Ross Avenue,32.78795302487753,-96.79664061,33864.50447570046,22011.93
