name,building,Building_Sq_Ft,county,latitude,longitude
,warehouse,296059.8428,"Dallas County, Texas",32.77367162121196,-96.88173173
,warehouse,286879.41789462254,"Dallas County, Texas",32.774526418906675,-96.88424891
,warehouse,272668.86889819504,"Dallas County, Texas",32.77171404311166,-96.88678997
,warehouse,58059.35140770408,"Dallas County, Texas",32.75083794369605,-96.89258151
,warehouse,59937.702777551196,"Dallas County, Texas",32.75072360139496,-96.89408259
,commercial,111912.43639024247,"Dallas County, Texas",32.75072970157293,-96.89553465
Fun Movie Grill,commercial,79416.11472268129,"Dallas County, Texas",32.92468133943153,-96.96649616
,retail,149103.78508759817,"Dallas County, Texas",32.92265450769417,-96.97735892
The Home Depot,retail,120462.90889836088,"Dallas County, Texas",32.92338546716626,-96.98041993
The Dump Furniture,retail,183543.07591747944,"Dallas County, Texas",32.92406636763809,-96.98309568
Irving Mall,retail,844346.5729032558,"Dallas County, Texas",32.83981016,-96.99666709
Walmart Supercenter,retail,221142.2057967868,"Dallas County, Texas",32.92058366643628,-96.9677412
Sam's Club,retail,135184.42044851818,"Dallas County, Texas",32.920004680996364,-96.96231676
,retail,35210.55454499605,"Dallas County, Texas",32.920022916694876,-96.95704733
,retail,57071.55239357216,"Dallas County, Texas",32.91086332043878,-96.96180857
Boy Scouts of America National Headquarters,office,35358.03072,"Dallas County, Texas",32.88593881636872,-96.97019756
,retail,25359.298777424636,"Dallas County, Texas",32.953621387485256,-96.95710548
,retail,22376.208841101557,"Dallas County, Texas",32.951679510069106,-96.95887663
,industrial,785221.7840088495,"Dallas County, Texas",32.78804319899876,-96.74978424
Walmart Supercenter,retail,224068.77753744903,"Dallas County, Texas",32.597408457508955,-96.94696369
,commercial,44731.612158861695,"Dallas County, Texas",32.78301246350412,-96.80088287
KDFW-TV / FOX,commercial,27756.303817763644,"Dallas County, Texas",32.782223887162885,-96.80313169
The Shed,commercial,31519.29632955749,"Dallas County, Texas",32.77769265538826,-96.78864426
The Market Building,warehouse,33730.30093634263,"Dallas County, Texas",32.77755066679896,-96.79004735
,industrial,21674.015652791943,"Dallas County, Texas",32.77490716870834,-96.79289625
,warehouse,31276.988115139866,"Dallas County, Texas",32.77570805,-96.78975957
DataBank,commercial,43554.29258,"Dallas County, Texas",32.778301475863216,-96.79843729
,commercial,37433.22510963685,"Dallas County, Texas",32.77860870707887,-96.79997695
Whitacre Tower,commercial,35553.920518144885,"Dallas County, Texas",32.77953193946295,-96.79880677
Dallas Power & Lights,commercial,37677.33629526596,"Dallas County, Texas",32.77970939,-96.79796468
Dallas County Parking Garage D,commercial,80553.33331672686,"Dallas County, Texas",32.778582347212755,-96.81272686
,commercial,32537.239845809414,"Dallas County, Texas",32.783235950000005,-96.81701305
,commercial,26941.434994241747,"Dallas County, Texas",32.78289109988356,-96.81967831
,commercial,29883.543626829163,"Dallas County, Texas",32.78333298,-96.81867173
,warehouse,21493.321620890496,"Dallas County, Texas",32.78410733964854,-96.81844216
,commercial,29386.966318661478,"Dallas County, Texas",32.78368606551087,-96.80932845
Factory Six03,commercial,43221.21738518179,"Dallas County, Texas",32.78322827185666,-96.80777635
,commercial,22724.05081080716,"Dallas County, Texas",32.782814653981006,-96.80579718
